seed,initial_spread,final_spread,convergence_index,max_drift,mean_drift
42,5.821,5.922,1.017,0.415,0.321
137,5.821,5.968,1.025,0.399,0.281
256,5.821,5.905,1.014,0.459,0.271
512,5.821,5.918,1.017,0.423,0.276
1024,5.821,5.852,1.005,0.427,0.278
