archetype,trust,stack_mean,stack_std,rebuys,rank_P3,rank_P31,rank_change
mirror,0.748,280,81,0.0,2,1,+1
oracle,0.618,238,112,0.1,3,2,+1
phantom,0.631,236,70,0.1,1,3,-2
predator,0.770,235,111,0.1,6,4,+2
sentinel,0.759,234,96,0.0,7,5,+2
wall,0.937,217,109,0.6,8,6,+2
judge,0.760,203,80,0.0,4,7,-3
firestorm,0.449,196,65,0.4,5,8,-3
