archetype,seed_42,seed_137,seed_256,seed_512,seed_1024,seed_12666,seed_13927,seed_14942,seed_19277,seed_29004,seed_41939,seed_42908,seed_58556,seed_69218,seed_70875,seed_72385,seed_73280,seed_77153,seed_86890,seed_99769,mean
oracle,182,208,138,116,215,315,91,287,486,131,168,280,464,364,185,243,400,159,180,155,238.3
sentinel,271,306,301,324,134,316,66,351,355,287,27,121,191,260,220,190,297,125,202,338,234.1
firestorm,165,215,155,308,210,227,134,125,194,89,255,96,349,266,202,239,193,131,181,188,196.1
wall,197,386,280,229,75,95,252,195,92,141,72,482,292,33,198,297,287,264,273,198,216.9
phantom,304,168,213,380,292,179,225,151,321,169,384,149,174,248,232,249,286,219,183,198,236.2
predator,157,108,118,121,284,292,337,261,280,78,182,188,197,301,492,115,149,410,387,238,234.8
mirror,159,248,263,254,316,290,316,223,59,307,211,345,340,223,420,253,353,282,399,347,280.4
judge,165,161,132,68,274,86,179,207,213,398,301,139,193,105,251,214,235,210,195,338,203.2
