seed,Phase 1,Phase 2,Phase 3,Phase 3.1
42,-0.774,-0.759,-0.884,-0.289
137,-0.608,-0.424,-0.525,-0.338
256,-0.792,-0.719,-0.171,-0.327
512,-0.812,-0.717,-0.712,+0.047
1024,-0.776,-0.564,-0.259,+0.435
mean,-0.752,-0.637,-0.510,-0.094
std,0.073,0.125,0.268,0.301
