seed,P2_bounded_r,P2_unbounded_r,delta_r
42,-0.759,-0.354,+0.405
137,-0.424,-0.700,-0.276
256,-0.719,-0.344,+0.375
512,-0.717,-0.887,-0.170
1024,-0.564,-0.759,-0.195
