seed,initial_spread,final_spread,convergence_index,max_drift,mean_drift
42,5.821,7.518,1.291,4.148,3.380
137,5.821,8.139,1.398,4.862,3.612
256,5.821,7.556,1.298,3.928,3.238
512,5.821,7.736,1.329,3.997,3.245
1024,5.821,7.602,1.306,4.269,3.512
