seed,P2_bounded_r,P2_unbounded_r,delta_r
42,-0.759,-0.791,-0.032
137,-0.424,-0.676,-0.252
256,-0.719,-0.932,-0.213
512,-0.717,-0.717,+0.000
1024,-0.564,-0.779,-0.215
