archetype,TMA,direction
judge,+0.304,farming
predator,+0.280,farming
oracle,+0.273,farming
phantom,+0.261,farming
mirror,+0.200,farming
wall,+0.190,farming
sentinel,+0.138,farming
firestorm,-0.157,no awareness
