archetype,seed_42,seed_137,seed_256,seed_512,seed_1024,mean
oracle,309,687,303,500,858,531.4
sentinel,456,239,380,188,380,328.6
firestorm,1056,303,162,547,192,452.0
wall,79,202,32,124,66,100.6
phantom,736,1039,792,455,724,749.2
predator,449,336,263,584,611,448.6
mirror,527,725,536,524,849,632.2
judge,788,69,532,478,520,477.4
